System initialized

Reading in Gromacs topology "system_GMX.top"...
Topology loaded

Reading in Gromacs structure "system_GMX.gro"...
Structure loaded

Writing Gromacs structure file...
Finished writing "system_GMX_out.gro"

Writing Gromacs topology file...
Finished writing "system_GMX_out.top"

         31370901 function calls (28826149 primitive calls) in 30.697 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.048    0.048 unit_definitions.py:5(<module>)
        1    0.000    0.000    0.048    0.048 unit_math.py:6(<module>)
        1    0.000    0.000    0.000    0.000 unit_operators.py:19(<module>)
        1    0.000    0.000    0.000    0.000 unit_operators.py:31(_unit_class_rdiv)
   568503    1.298    0.000    3.883    0.000 unit_operators.py:49(_unit_class_mul)
        4    0.000    0.000    0.000    0.000 {_sre.compile}
      780    0.000    0.000    0.000    0.000 {abs}
    48309    0.019    0.000    0.019    0.000 {built-in method __new__ of type object at 0x76e620}
   101748    0.024    0.000    0.024    0.000 {built-in method group}
   101592    0.126    0.000    0.126    0.000 {built-in method match}
     1075    0.000    0.000    0.000    0.000 {cmp}
   477647    0.217    0.000    0.217    0.000 {getattr}
    48312    0.070    0.000    0.070    0.000 {hasattr}
   166423    0.033    0.000    0.033    0.000 {hash}
  4002153    0.510    0.000    0.510    0.000 {id}
  3767941    1.412    0.000    1.412    0.000 {isinstance}
429296/429293    0.165    0.000    0.165    0.000 {issubclass}
    16735    0.005    0.000    0.005    0.000 {iter}
202164/202129    0.036    0.000    0.036    0.000 {len}
        2    0.000    0.000    0.000    0.000 {math.log}
       28    0.000    0.000    0.000    0.000 {max}
    48308    0.368    0.000    0.368    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  1802167    0.362    0.000    0.362    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
    33834    0.017    0.000    0.017    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
  3627903    0.812    0.000    0.812    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
     2376    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      519    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
   214554    1.557    0.000    1.557    0.000 {method 'iteritems' of 'dict' objects}
     1491    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    33844    0.512    0.000    0.512    0.000 {method 'pop' of 'list' objects}
    33889    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
       32    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
      470    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    33830    0.032    0.000    0.032    0.000 {method 'split' of 'str' objects}
   100395    0.022    0.000    0.022    0.000 {method 'strip' of 'str' objects}
    48308    0.091    0.000    0.091    0.000 {method 'update' of 'dict' objects}
        6    0.003    0.001    0.003    0.001 {method 'values' of 'dict' objects}
    61968    0.021    0.000    0.021    0.000 {method 'write' of 'file' objects}
      218    0.000    0.000    0.000    0.000 {min}
        4    0.001    0.000    0.001    0.000 {open}
      247    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.stat}
     2307    0.001    0.000    0.002    0.000 {pow}
    48836    0.045    0.000    0.045    0.000 {range}
     1467    0.004    0.000    0.005    0.000 {sorted}
    22055    0.033    0.000    0.033    0.000 {zip}


